Name,Genre,Description,Year,Runtime
Moonrise Kingdom,"Comedy, Drama, Romance            ","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",2012,94 min
Skyfall,"Action, Adventure, Thriller            ","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",2012,143 min
Spring Breakers,"Crime, Drama, Thriller            ","Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",2012,94 min
Jagten,Drama            ,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012,115 min
La vie d'Adèle,"Drama, Romance            ","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",2013,180 min
Blue Jasmine,"Comedy, Drama            ","A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks like a million dollars but isn't bringing money, peace or love.",2013,98 min
Blue Ruin,"Crime, Drama, Thriller            ","A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.",2013,90 min
Cheap Thrills,"Comedy, Crime, Drama            ",A scheming couple put a struggling family man and his old friend through a series of increasingly twisted dares over the course of an evening at a local bar.,I 2013,88 min
Her,"Drama, Romance, Sci-Fi            ","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",2013,126 min
Ida,Drama            ,A novice nun about to take her vows uncovers a family secret dating back to the German occupation.,2013,82 min
Inside Llewyn Davis,"Drama, Music            ",A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,2013,104 min
Gravity,"Drama, Sci-Fi, Thriller            ",Two astronauts work together to survive after an accident leaves them stranded in space.,2013,91 min
Locke,Drama            ,"Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.",2013,85 min
Only Lovers Left Alive,"Comedy, Drama, Fantasy            ","A depressed musician reunites with his lover. Though their romance, which has already endured several centuries, is disrupted by the arrival of her uncontrollable younger sister.",2013,123 min
Prisoners,"Crime, Drama, Mystery            ","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2013,153 min
Snowpiercer,"Action, Sci-Fi, Thriller            ","In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.",2013,126 min
The Counselor,"Crime, Drama, Thriller            ",A lawyer finds himself in over his head when he gets involved in drug trafficking.,2013,117 min
The Wolf of Wall Street,"Biography, Comedy, Crime            ","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,180 min
Under the Skin,"Drama, Horror, Mystery            ","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.",I 2013,108 min
En duva satt på en gren och funderade på tillvaron,"Comedy, Drama, Fantasy            ","Sam and Jonathan, a pair of hapless novelty salesmen, embark on a tour of the human condition in reality and fantasy that unfold in a series of absurdist episodes.",2014,101 min
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama            ","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",2014,119 min
Boyhood,Drama            ,"The life of Mason, from early childhood to his arrival at college.",I 2014,165 min
Gone Girl,"Drama, Mystery, Thriller            ","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",2014,149 min
"Ich seh, Ich seh","Horror, Mystery, Thriller            ","Twin boys move to a new house with their mother after she has face-changing cosmetic surgery, but under the bandages is someone the boys don't recognize.",2014,99 min
Interstellar,"Adventure, Drama, Sci-Fi            ",A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,2014,169 min
It Follows,"Horror, Mystery, Thriller            ",A young woman is followed by an unknown supernatural force after a sexual encounter.,2014,100 min
John Wick,"Action, Crime, Thriller            ",An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took his car.,2014,101 min
Love & Mercy,"Biography, Drama, Music            ","In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene Landy.",2014,121 min
Nightcrawler,"Crime, Drama, Thriller            ","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",2014,117 min
Edge of Tomorrow,"Action, Adventure, Sci-Fi            ","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",2014,113 min
Turist,"Comedy, Drama            ",A family vacationing in the French Alps is confronted with a devastating avalanche.,2014,120 min
The Babadook,"Horror, Mystery            ","A single mother and her child fall into a deep well of paranoia when an eerie children's book titled ""Mister Babadook"" manifests in their home.",2014,94 min
The Duke of Burgundy,"Drama, Romance            ",A woman who studies butterflies and moths tests the limits of her relationship with her lesbian lover.,2014,104 min
The Grand Budapest Hotel,"Adventure, Comedy, Crime            ","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",2014,99 min
The Guest,"Action, Mystery, Thriller            ","A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",I 2014,100 min
